mode,layer,model,acc
standard,N/A,resnet_baseline,0.126
standard,N/A,resnet_baseline_pretrained,0.422
standard,N/A,resnet_selftrain,0.604
standard,N/A,resnet_selftrain_pretrained,0.596
standard,clip,nn,0.584
standard,clip,kmeans,0.303
standard,clip,svm,0.557
standard,clip,xgb,0.411
standard,resnet,nn,0.49
standard,resnet,kmeans,0.219
standard,resnet,svm,0.491
standard,resnet,xgb,0.408
standard,vit,nn,0.593
standard,vit,kmeans,0.338
standard,vit,svm,0.179
standard,vit,xgb,0.447
openset,N/A,resnet_baseline,0.495
openset,N/A,resnet_baseline_pretrained,0.573
openset,N/A,resnet_selftrain,0.679
openset,N/A,resnet_selftrain_pretrained,0.6779999999999999
openset,clip,nn,0.671
openset,clip,kmeans,0.164
openset,clip,svm,0.311
openset,clip,xgb,0.225
openset,resnet,nn,0.608
openset,resnet,kmeans,0.124
openset,resnet,svm,0.261
openset,resnet,xgb,0.228
openset,vit,nn,0.685
openset,vit,kmeans,0.16
openset,vit,svm,0.093
openset,vit,xgb,0.25
